"TICO_CODIGO","CNPJ","CEP","IE","FLAG","SUFRAMA","UF","ENTE_FEDERATIVO"
"06","33.608.308/0027-02","57035780","ISENTO","","","AL",""
"06","59.386.015/0001-82","71605001","0836807600190","","","DF",""
"06","25.084.742/0001-73","80030180","ISENTO","","","PR",""
"03","32.302.252/0001-61","15064000","647996385110","","","SP",""
"06","01.651.388/0001-53","32400221","ISENTO","","","MG",""
"03","06.218.182/0001-58","09580020","636208089118","","","SP",""
"03","24.462.168/0001-87","08773360","154062593119","","","SP",""
"03","18.706.930/0001-20","88390000","257126147","","","SC",""
"03","06.016.443/0001-57","13360089","253092931111","","","SP",""
"03","39.449.358/0001-31","03067050","129901309112","","","SP",""
"03","73.345.415/0001-70","81270010","1080282628","","","PR",""
"06","01.623.513/0001-11","78528000","ISENTO","","","MT",""
"03","30.119.534/0001-00","96080080","0930470508","","","RS",""
"06","37.919.372/0001-26","05590130","ISENTO","","","SP",""
"03","42.584.318/0001-07","04542000","ISENTO","","","SP",""
"03","02.046.366/0001-27","01310200","115292652112","","","SP",""
"06","14.327.710/0001-35","05061150","ISENTO","","","SP",""
"06","05.109.741/0001-29","01311100","136975420115","","","SP",""
"03","46.364.999/0001-59","38770000","0044650840082","","","MG",""
"06","61.453.378/0001-35","23585480","ISENTO","","","RJ",""
"03","29.244.465/0001-70","88349175","258538236","","","SC",""
"06","29.554.953/0001-83","20020010","ISENTO","","","RJ",""
"06","47.029.507/0001-31","95870000","ISENTO","","","RS",""
"06","03.011.072/0001-22","13040145","ISENTO","","","SP",""
"03","37.882.728/0001-02","83070152","9085611205","","","PR",""
"03","03.506.919/0001-40","36480000","5080578710036","","","MG",""
"06","51.962.678/0001-96","05002062","ISENTO","","","SP",""
"03","08.832.547/0001-65","38700188","0010385200021","","","MG",""
"06","07.107.481/0001-88","32310210","ISENTO","","","MG",""
"03","34.186.669/0003-01","57150000","240250826","","","AL",""
"03","55.223.127/0002-42","15105000","556005563110","","","SP",""
"03","80.646.755/0001-05","88385000","251647668","","","SC",""
"03","31.772.291/0001-60","12246870","125496942118","","","SP",""
"03","11.411.872/0001-69","95913265","0720168201","","","RS",""
"03","04.416.849/0047-84","33880302","0014188051060","","","MG",""
"03","34.006.386/0001-60","35501170","0034759930094","","","MG",""
"03","26.388.708/0001-55","69057015","053845480","","","AM",""
"06","04.770.386/0001-71","78005615","ISENTO","","","MT",""
"03","34.177.030/0001-90","44900000","028852708","","","BA",""
"04","03.875.295/0001-38","70340905","","","","DF",""
"06","87.210.084/0001-76","95674016","ISENTO","","","RS",""
"06","88.654.298/0001-02","95190000","ISENTO","","","RS",""
"03","02.510.689/0001-20","74912261","104400684","","","GO",""
"06","27.766.880/0001-68","24220021","ISENTO","","","RJ",""
"03","09.053.646/0001-01","58326000","160733510","","","PB",""
"03","08.900.095/0002-92","01311918","140344778113","","","SP",""
"03","35.364.825/0001-70","01427002","129336080114","","","SP",""
"06","08.202.410/0001-27","45653010","ISENTO","","","BA",""
"03","11.164.284/0001-78","95013323","0290557542","","","RS",""
"06","52.205.435/0001-76","12970000","ISENTO","","","SP",""
"06","11.197.537/0004-52","38408404","ISENTO","","","MG",""
"03","10.360.938/0001-76","29230000","082574367","","","ES",""
"03","22.084.878/0001-95","09531190","636325304113","","","SP",""
"03","06.219.399/0004-25","95678504","0560092504","","","RS",""
"06","33.703.091/0001-80","20011020","ISENTO","","","RJ",""
"06","12.355.612/0001-86","68900040","ISENTO","","","AP",""
"03","13.534.698/0047-50","66090500","152257993","","","PA",""
"06","87.613.071/0001-48","98801590","ISENTO","","","RS",""
"06","33.955.676/0001-98","69460000","ISENTO","","","AM",""
"06","50.471.050/0001-25","04139090","ISENTO","","","SP",""
"06","14.313.519/0001-34","03212000","ISENTO","","","SP",""
"03","27.234.154/0001-02","41233005","138913889","","","BA",""
"03","23.643.315/0030-97","37704397","5180389711777","","","MG",""
"06","33.713.880/0001-00","38740060","ISENTO","","","MG",""
"03","48.509.178/0001-99","03363070","109769567118","","","SP",""
"06","40.686.733/0001-46","05424150","ISENTO","","","SP",""
"06","17.802.004/0001-96","69305290","ISENTO","","","RR",""
"03","49.605.254/0001-22","13347653","353559291110","","","SP",""
"03","23.108.685/0001-90","29090310","083124080","","","ES",""
"03","04.681.164/0001-82","13508500","587254723113","","","SP",""
"03","34.465.170/0001-63","68193000","156559129","","","PA",""
"03","38.109.846/0001-37","49085310","271709782","","","SE",""
"03","13.144.147/0001-05","05434010","123069480118","","","SP",""
"06","09.553.484/0001-70","70630200","ISENTO","","","DF",""
"06","10.667.970/0001-07","51110160","ISENTO","","","PE",""
"03","04.425.426/0001-48","22713003","12282168","","","RJ",""
"03","59.274.200/0001-85","19407000","563113492111","","","SP",""
"06","08.394.067/0001-60","90160180","ISENTO","","","RS",""
"06","12.010.131/0001-39","20071903","ISENTO","","","RJ",""
"03","31.959.959/0001-82","21041210","11293271","","","RJ",""
"03","05.266.301/0001-85","07411670","188104759112","","","SP",""
"06","39.385.367/0001-06","83203390","ISENTO","","","PR",""
"03","44.694.779/0001-68","74934575","108796710","","","GO",""
"03","03.887.324/0001-81","18160000","602065921117","","","SP",""
"03","39.937.497/0001-04","05507000","136292164110","","","SP",""
